,movie_title,review_dates,rev_titles,rev_text,grid_cats,csm_stars,reveiwer_classification,reviewer_age,csm_min_age,reviewer_min_age,reviewer_stars
0,Cats,2020-01-03,Horrifying,"Watch this if you’re bored with the way your mind works and you want to disrupt some things or if you want to not be able to breathe for 2 full hours. May cause uncontrollable laughter, shaking, shock and mind erasure. I’ve been processing this for 30 minutes and will continue for 24 hours. oh. no.Show less",['Sexy stuff'],3,Adult,Unk,10,17,1
1,Cats,2020-01-04,Follow your instinct,"It was great! Honestly. How was it not going to be weird and oddly sexual? It's Cats! 

If, like me, you remember the show from your childhood, have a musical child interested in dance and theatre, and are constantly looking for something without the constant, high-impact peril of most 'kids' ' shows, then look no further. I'm so glad I followed my instincts and took my 3yo boy to this.

He was initially alarmed but I had told him before that it was about people pretending to be cats. He didn't understand much of what was being said - after all, some of the content is 100 years old now - but I was whispering in his ear, 'it's an old lady / magic / mean / naughty / dustbin / pirate cat', and he was fine. He got a bit fidgety towards the end, and kept asking if it was finished yet, but he insisted on staying till the last line of the credits, and instantly asked me, 'Can we watch it again?'

Yes there are some hmm, controversial choices like Rebel Wilson's 'catsuit' and the cats wearing Timberlands (it's because they were street dancing, and wonderfully too). But there are also some extraordinary moments, like the beautiful ballet dancing by male and female leads, and Skimbleshanks' fantastic tap sequence. Honestly if you have an imaginative child interested in dance and performance, what's not to love? 

The scale was weird, but fun. As you'd expect, 40 years on there's an injection of more jeopardy, more romance, but all this was pretty easy to ignore in favour of the sheer spectacle. Just marvellous, and boo to the cynics. I can't believe how many people are sneering at it, but then again, in today's world people are pretty cynical. It was totally generous and good-hearted.

View it like going to the ballet, don't expect too much coherence, and sit back and revel in the madness. I plan to buy it on DVD and watch repeatedly as my kids grow and learn more dance!Show less","['Positive Messages', 'Positive role models']",3,Adult,Unk,10,3,5
2,Cats,2019-12-27,Magical Musical,"I saw it last weekend with my 4.5 year old. I thought it was great and my daughter LOVED it. She’s still singing “Jelicle Cats” and still complaining that I made her run to the bathroom to pee during a song and she missed a tiny part of the movie. 

Some parts were a little bit “sexy”, in my opinion, but the innuendos were seemingly over her head. She was completely interested and focused the whole time and very invested in the story line. If your child has a hard time listening to or understanding music lyrics, maybe wait until they are older. There is essentially no dialogue in the film so they have to understand what the songs mean. 

The dancing and the singing are both magical and fantastic!Show less","['Positive Messages', 'Sexy stuff']",3,Adult,Unk,10,4,5
3,Cats,2019-12-26,THE WORST,this movie was terrible. 10/10 would not recommend. super scary and that wasn't on purpose.,"['Violence & scariness', 'Sexy stuff', 'Language', 'Drinking, Drugs & Smoking']",3,Adult,Unk,10,18,1
4,Cats,2019-12-24,Better than critics say,"I had heard critic reviews that panned the movie, but I wanted to see for myself.  My 10 year old and I absolutely loved it.  Taken separately from the Broadway production, it is so enjoyable in it's own right.  It could be better, yes - some technical things with movement such as feline jumps across the space are awkward.  However, Jennifer Hudson alone made it worth the watch.  The dancing was great, as well.  Highly recommend.Show less",['Positive Messages'],3,Adult,Unk,10,10,4
5,Cats,2019-12-24,"Not your average film, but an cultural treasure ","If you want  car crashes and fight scenes and photo-realistic animations  don't go. If you would appreciate stunning and groundbreaking choreography of almost every genre,  awe-inspiring giant theatrical sets and possibly the best and most heart-rending performance  of ""Memories""  that will ever be sung,  (Jennifer Hudson), and an amazing new song (Taylor Swift) jointly written by Taylor Swift and Andrew Lloyd-Webber ... you have to see this.  This is theatre and dance  art of the highest quality its not blockbuster movie trash, and movie critics hate it .. which is yet another reason to go and see it. It is escapist, emotional and totally brilliant. A great movie for the whole family, which we were all talking about for days afterwardsShow less","['Positive Messages', 'Positive role models']",3,Adult,Unk,10,10,4
6,Cats,2020-08-01,TERRIBLE MOVIE!,"Me and my two daughthers decided to go watch this as a family outing, but little did we know this movie would be horrible! The cats did absolutley nothing fun during the majority of this terrible movie. I don't recomend. Love, The Berryjingle family xx",,3,Adult,Unk,10,18,1
7,Cats,2020-01-04,"Learn about the book or musical before seeing, but great adaptation","My daughter (8) and I saw this movie over the holidays because we were curious and we saw all of the negative attention it was getting. We enjoyed it so much that she wanted to give it a positive review on here as soon as we got home. This is what she says, ""We saw cats and we just loved it! The costumes are realistic, the dancing was beautiful, the set looked cat-sized, and the story was something I really enjoyed. You should give this movie a try if you are not sure, especially if you LOVE LOVE LOVE cats and animals, and ignore the negative comments."" If you enjoyed the musical, then this movie is good. If you are not familiar with the musical or the book by T.S. Eliot, you would benefit from learning more about it before seeing the movie.Show less","['Positive Messages', 'Positive role models']",3,Adult,Unk,10,8,5
8,Cats,2019-12-24,Totally Enchanting,"I have seen the stage version multiple times and, yes, this is different but no less enchanting.  The writers and producers have taken a little latitude such as casting Old Duteronomy as a female however it does not diminish the charm. I was captivated the entire time I was there and I would severely criticise the critics for failing to do their job in a balanced wayShow less",['Positive Messages'],3,Adult,Unk,10,5,5
9,Cats,2019-12-23,No... Just no.,"This movie is HORRID! The animation is terrible, the songs are twisted to a point we’re that sound entirely different, and much much more. Not worth money. I would have been disappointed if I RENTED this movie.",,3,Adult,Unk,10,18,1
10,Cats,2020-01-03,Enjoyable!,"I’m honestly annoyed at all the bad press. I’ve seen the musical several times, and recently took my 8 year old daughter to see it on stage. She loves it and listens to the cast recording all the time. Of course we were going to see the movie. Of course it’s surreal and different! So was the musical! But the movie special effects were fun, the music and dancing was fantastic, and we were highly entertained. My daughter loved it, and I don’t see why people have to be so hung up on the way a musical was adapted for the screen. They did a good job and the cast is obviously outstanding. I would not hesitate to see this with your kids, especially as the magic is really more meaningful to them anyhow.Show less",['Positive Messages'],3,Parent of a 8-year-old,8,10,9,4
11,Cats,2020-01-01,Spectacular! Flawless song and dance! ,"I saw Cats on New Years Day! I thought it was absolutely fabulous!! 

The music and dance was mesmerizing and flawless! I found it extremely interesting and the cast was spectacular! I enjoyed it so much that I could sit through it again and again!! Highly recommend. 

I will add that I'm 61 and 6 of us went together (all in the 50-70 year old range)! We all enjoyed it very much! 

Maybe age is a factor or appreciation of wonderful and flawlessly delivered music and dance is a factor? I'm not sure, but we almost changed our selection based on the early reviews! Boy are we glad we didn't change! 

All of the cast was fabulous, but extra kudos to Francesca Hayward! She was truly remarkable!! 

Thanks to all who helped create this masterpiece!Show less",,3,Adult,Unk,10,18,5
12,Cats,2019-12-31,"TS. Eliot didn't want to sell his work to Disney as they might turn it into childish fun. Sir Andrew Loyed Webber promised not to do that and he delivered. This new version completely overturns that and creates a specialectical shallow and without humour, even trying too hard to achieve this. Absolute fail, all the big names looked uneasy and unconvincing. My loyalty shall remain solidly with the musical production.",,,3,Adult,Unk,10,4,1
13,Cats,2019-12-29,Under that thick cat fur...,"I know that many people feel it's a surreal film. It's Andrew Lloyd Webber, after all. I remember getting freaked out, as a kid, with the trailer of the 1998 direct-to-video version. It was just before Joseph started, on VHS. The sentiments were perfectly relatable, in my opinion.

But, under that thick cat fur, the film isn't that bad. Especially, if you love musicals, an ALW fan (like myself, included) or/and don't find Motion-Capture films (Tintin, Polar Express, Beowulf, A Christmas Carol all spring to mind) jarring. You might not find this one as bad as the majority thinks.

There are few scary moments with Macavity, played by Idris Elba. But, he does get thrawted, at the end of the picture and those moments aren't that long. Plus, there are loads of moments that promote empathy and being welcoming. Victoria (Frankie Haywood, great dancer and first-time singer) obviously got thrown away by her owner (the owner, whom we don't see in the frame, is the only live-action element of the picture). But, they eventually make her feel at home and encourage to be her own person. She was also the first cat that notices Grizabella (Jennifer Hudson, from The Voice franchise), who gets bullied and treated like an alien by the other cats. Even though, it was mentioned that Macavity was directly responsible for messing up her life. But, Grizabella does have a happy ending, like what Victoria got, too.

Also, all of the vocals are recorded live on set, like what Tom Hooper did in Les Miserables with Simon Haynes (Simon reunites with Tom on this film, reprising his role from Les Mis). Since, this film is sung-through, it makes a lot of sense to do that. I'm glad Universal and Amblin (they actually nearly made a traditionally-animated version it, before Balto bombed at the Box Office) didn't interfere and make Tom pre-record the vocals to have them mimed on set.  It would have been a ghastly move, since we have the technologies to go back to doing it now.

The Acting, Musical Numbers (a few were re-worked by Chic and Nile Rogers), Storyline and Style were the qualities that shone out as ""the jellicle cats."" Andrew's musicals may not be for everybody, though. He has been accused of plagiarism/being one-dimensional, as well as ""overrated."" But, as a person with Special Needs (Autism, that is), I thought that this film, as I have said before, was my ""jellicle choice.""

If, there is anybody that loves musical theatre, take them to see it!Show less","['Positive Messages', 'Positive role models', 'Violence & scariness']",3,Adult,Unk,10,7,4
14,Cats,2019-12-23,,,,3,Adult,Unk,10,13,2
15,Cats,2020-07-19,horrifying,children will be mentally scarred,['Violence & scariness'],3,Adult,Unk,10,18,1
16,Cats,2019-12-28,Very good entertainment ,"I didn't expect it to be a copy of the famous musical and I wasn't disappointed contrary to the people and critics who compared it to the former 'Cats' musical. Me and my 8 year old daughter loved the dances and songs. The costumes, imagery were absolutely stunning. I found it really entertaining. Too much CGI?  But there is so much of it in every kids fairytale movie nowadays. In my opinion, the visions were captivating for the young and old ones.Show less","['Positive Messages', 'Positive role models']",3,Adult,Unk,10,8,4
