,movie_title,review_dates,rev_titles,rev_text,grid_cats,csm_stars,reveiwer_classification,reviewer_age,csm_min_age,reviewer_min_age,reviewer_stars
0,Cats,2019-12-19,Don't even bother.,I can't believe some idiots gave this movie 4/5 stars. This movie is one of the worst of all time. This movie seriously makes the Sonic Movie seem like The Godfather. Anyways this just sucks.,['Violence & scariness'],3,Kid,12,10,18,1
1,Cats,2019-12-28,Cats:  Get Ready To Waste Your Time,"This is the most horrible,  God-forsaken movie I've ever seen.  So bad,  I wanted to walk out.  Why?  Well let's see----the same chord being played over and over?  A lack of character development?  Oversexualized commonplace actions?  Songs that are 17 minutes long?  That's not all folks.  It only goes downhill.  The main character does NOTHING in the movie at all.  The ending is just creepy and garbage.  You have a old cat staring at you,  which just makes me cringe.  This movie broke the one rule of being a movie.   NOT BREAKING THE FOURTH WALL.  The point of a movie is to be entertaining and enthrall you into the world of it and makes you want to stay.  However,  I just wanted to walk out the second it started.   The writing was just horrible and the story doesn't even make sense.  Also,  ""Memory"",  the song that is well known in Cats,  was transposed 5 octaves,  and the whole song and the key change was just cut off thanks to the terrible writing and lack of keeping the okay-ish material from the play.   Furthermore,  the jokes are just badly timed and just get disturbing.  And the fact that all the songs that are important to the story are literally satanic chants,   is just a big facepalm to the mere movie itself.    Sometimes,  I got very uncomfortable,  and for this to be a PG movie, it gets pretty....uh......how do I say this?  Flashy? 
 Uh, yeah,  you get the picture.  This movie is best for 13 year olds or mature tweens who want to torture themselves.   So if you wanna see garbage on the big screen,  watch Cats!Show less",['Sexy stuff'],3,Teen,13,10,11,1
2,Cats,2020-01-03,"Not for Dog People, but seriously...ITS BAD","I was disappointed at the lack of Dogs in the Cats movie. I was surprised at the number of literal cats in the movie. In fact, I expected only CGI, but in my theater, there were cats running throughout the aisles.  It was crazy. They were purring throughout the movie and I couldn't hear the sound very well. One cat jumped up on me and ate my popcorn. The actual movie was pretty....disappointing. I expected more dogs. DO NOT SEE IF YOU DO NOT ACTUALLY LIKE CATS. 

Okay that was a joke...but if i'm being completely honest, the movie was a flop. It was flashy, tacky, distasteful, disturbing, and not worth seeing. The acting was sub-par and as was the singing. The plot did not flow well, and it was hard to follow. I almost walked out of the theater but I deemed it disrespectful. Every second of the movie was worst than the last, and there were clearly some things they forgot to CGI out. I really thought some of the actors and actresses in the movie were above the stupidity that this movie brought. At the end, the fourth wall was broken. That's like rule #1 of what not to do in movies. It is a fun movie to make fun of, but honestly its just really, really bad. I can't think of one good thing about it actually.  Don't see unless torture is your thing...god I hope its not..Show less",['Sexy stuff'],3,Teen,17,10,8,1
3,Cats,2019-12-20,,,,3,Teen,14,10,9,5
4,Cats,2019-12-28,this movie literally gives me nightmares ,hello! you might think to take ur child to this movie about precious little feline friends but i’m here to tell you it will literally give you nightmares. i saw it last night and haven’t got any sleep since becuase i am so terrified and i’m 15 too! if you care for your child do not let them see this movie. it will scare them so much and then they won’t get any sleep and neither will you. this movie is awfulShow less,['Violence & scariness'],3,Teen,15,10,18,1
5,Cats,2019-12-28,Oh god,"It's painfully so bad need I say more. The song numbers look and sound bad and it's basically like listening to the same song 10 times in a row. The Story is bland and kids will probably be bored as they were in my theater, the visuals are colorful but quite bad to look at, it's also a crazy movie it felt like Will smiths blue genie from Aladdin on cocaine if that makes sense, it was that level or energy and creepiness on all the cats faces. several people walked out of the movie, It's down there with movies you question how they got made and discuss over that which is the most fun thing to do with this film. 1/10 Ian McKellen was pretty good.Show less",,3,Teen,17,10,7,1
6,Cats,2019-12-21,Loved it!,I loved seeing it. I've seen nothing like it.  There was only 1 scene I didn't like. I got chills when I heard Jennifer Hudson sing Memories.,"['Positive Messages', 'Positive role models']",3,Kid,12,10,7,5
7,Cats,2019-12-20,No No No No,Never watch!,['Sexy stuff'],3,Teen,13,10,18,1
8,Cats,2019-12-20,strange,"people, dressing up as cats? some will find this a little disturbing.",['Sexy stuff'],3,Teen,13,10,13,3
9,Cats,2019-12-20,Good but clearly unfinished ,"This movie was very visually stunning, with mostly great CGI and great musical numbers. However, there is one scene where the CGI was obviously unfinished and one character makes lots of sexual innuendoes... that scene was the worst part of the whole movie, but after that it was pretty good. There’s no swearing and no violence but there are some scary moments.Show less","['Positive Messages', 'Positive role models']",3,Teen,15,10,10,4
10,Cats,2020-10-18,disgustingly horrifying!,i watched this and had nightmares for months!it was horrifying my friend had to be sent to an asylum just for watching the trailer! terrifyng creatures shreak during this insane horror movie! watching this moie was the biggest mistake of my life. i now suffer from trauma and go for therapy twice a week. do not reccommend. watch if u dare.Show less,['Violence & scariness'],3,Teen,13,10,18,1
11,Cats,2020-04-16,The worst...,"First of all, the animation and the voices are already bad, second, they should use real cats instead of dung darn humanoid cats for god sake. Nobody wants this movie. I think Hollywood was on drugs trying to make this, I mean, come on Holly, do you make good movies anymore, forsake this thing.Show less","['Violence & scariness', 'Sexy stuff', 'Language', 'Consumerism', 'Drinking, Drugs & Smoking']",3,Teen,14,10,18,1
12,Cats,2020-04-08,Confused on all the positive reviews,"I'm really confused by the positive reviews, this movie is a train wreck the plot is nonexistent and the movie is beyond boring. And don't even get me started on the horrible visual effects",,3,Teen,14,10,10,1
