year,conversion_factor
1774,0.034
1775,0.032
1776,0.036
1777,0.044
1778,0.057
1779,0.051
1780,0.057
1781,0.046
1782,0.05
1783,0.044
1784,0.042
1785,0.04
1786,0.04
1787,0.039
1788,0.037
1789,0.037
1790,0.038
1791,0.039
1792,0.04
1793,0.041
1794,0.046
1795,0.052
1796,0.055
1797,0.053
1798,0.051
1799,0.051
1800,0.052
1801,0.053
1802,0.045
1803,0.047
1804,0.049
1805,0.049
1806,0.051
1807,0.048
1808,0.052
1809,0.051
1810,0.051
1811,0.055
1812,0.055
1813,0.067
1814,0.073
1815,0.064
1816,0.059
1817,0.055
1818,0.053
1819,0.053
1820,0.049
1821,0.047
1822,0.049
1823,0.044
1824,0.04
1825,0.041
1826,0.041
1827,0.042
1828,0.04
1829,0.039
1830,0.038
1831,0.036
1832,0.036
1833,0.035
1834,0.036
1835,0.037
1836,0.039
1837,0.04
1838,0.039
1839,0.039
1840,0.036
1841,0.036
1842,0.034
1843,0.031
1844,0.031
1845,0.032
1846,0.032
1847,0.034
1848,0.033
1849,0.032
1850,0.032
1851,0.032
1852,0.032
1853,0.032
1854,0.035
1855,0.036
1856,0.035
1857,0.036
1858,0.034
1859,0.035
1860,0.035
1861,0.037
1862,0.042
1863,0.052
1864,0.065
1865,0.068
1866,0.066
1867,0.062
1868,0.059
1869,0.057
1870,0.055
1871,0.051
1872,0.051
1873,0.05
1874,0.047
1875,0.046
1876,0.045
1877,0.044
1878,0.042
1879,0.042
1880,0.042
1881,0.042
1882,0.042
1883,0.042
1884,0.041
1885,0.04
1886,0.039
1887,0.04
1888,0.04
1889,0.038
1890,0.038
1891,0.038
1892,0.038
1893,0.037
1894,0.036
1895,0.035
1896,0.035
1897,0.035
1898,0.035
1899,0.035
1900,0.035
1901,0.035
1902,0.036
1903,0.037
1904,0.037
1905,0.037
1906,0.037
1907,0.039
1908,0.038
1909,0.038
1910,0.04
1911,0.04
1912,0.04
1913,0.041
1914,0.042
1915,0.042
1916,0.045
1917,0.053
1918,0.063
1919,0.072
1920,0.083
1921,0.075
1922,0.07
1923,0.071
1924,0.071
1925,0.073
1926,0.074
1927,0.072
1928,0.071
1929,0.071
1930,0.07
1931,0.063
1932,0.057
1933,0.054
1934,0.056
1935,0.057
1936,0.058
1937,0.06
1938,0.059
1939,0.058
1940,0.058
1941,0.061
1942,0.068
1943,0.072
1944,0.073
1945,0.075
1946,0.081
1947,0.093
1948,0.1
1949,0.099
1950,0.1
1951,0.108
1952,0.11
1953,0.111
1954,0.112
1955,0.112
1956,0.113
1957,0.117
1958,0.12
1959,0.121
1960,0.123
1961,0.125
1962,0.126
1963,0.127
1964,0.129
1965,0.131
1966,0.135
1967,0.139
1968,0.145
1969,0.153
1970,0.162
1971,0.169
1972,0.174
1973,0.185
1974,0.205
1975,0.224
1976,0.237
1977,0.252
1978,0.272
1979,0.302
1980,0.343
1981,0.379
1982,0.402
1983,0.415
1984,0.433
1985,0.448
1986,0.457
1987,0.473
1988,0.493
1989,0.517
1990,0.545
1991,0.567
1992,0.585
1993,0.602
1994,0.617
1995,0.635
1996,0.654
1997,0.669
1998,0.679
1999,0.694
2000,0.717
2001,0.738
2002,0.75
2003,0.767
2004,0.787
2005,0.814
2006,0.84
2007,0.864
2008,0.897
2009,0.894
2010,0.909
2011,0.937
2012,0.957
2013,0.971
2014,0.986
2015,0.988
2016,1
2017,1.025
2018,1.049
2019,1.073
2020,1.097
2021,1.123
2022,1.149
2023,1.176
2024,1.204
2025,1.232
2026,1.261
2027,1.291
