original_title,company_category,company_name
Cats (2019),production_companies,Working Title Films
Cats (2019),production_companies,Amblin Entertainment
Cats (2019),production_companies,Perfect World Pictures
Cats (2019),production_companies,Monumental Pictures
Cats (2019),production_companies,The Really Useful Group
Emo the Musical (2016),production_companies,Matthewswood Productions
Sunday School Musical (2008),production_companies,Faith Films
Paul Blart: Mall Cop 2 (2015),production_companies,Columbia Pictures
Paul Blart: Mall Cop 2 (2015),production_companies,LStar Capital
Paul Blart: Mall Cop 2 (2015),production_companies,Happy Madison Productions
Paul Blart: Mall Cop 2 (2015),production_companies,Hey Eddie
Waterworld (1995),production_companies,Universal Pictures
Waterworld (1995),production_companies,Gordon Company
Waterworld (1995),production_companies,Davis Entertainment
Waterworld (1995),production_companies,Licht/Mueller Film Corporation
Battlefield Earth (2000),production_companies,Warner Bros.
Battlefield Earth (2000),production_companies,Morgan Creek Entertainment
Battlefield Earth (2000),production_companies,Franchise Pictures
Battlefield Earth (2000),production_companies,JTP Films
Battlefield Earth (2000),production_companies,Battlefield Productions
Battlefield Earth (2000),production_companies,Mel's Cite du Cinema
Striking Distance (1993),production_companies,Columbia Pictures
Striking Distance (1993),production_companies,Arnon Milchan Productions
Twilight (2008),production_companies,Summit Entertainment
Twilight (2008),production_companies,Temple Hill Entertainment
Twilight (2008),production_companies,Maverick Films
Twilight (2008),production_companies,Imprint Entertainment
Twilight (2008),production_companies,Goldcrest Pictures
Twilight (2008),production_companies,Twilight Productions
The Twilight Saga: New Moon (2009),production_companies,Temple Hill Entertainment
The Twilight Saga: New Moon (2009),production_companies,Maverick Films
The Twilight Saga: New Moon (2009),production_companies,Imprint Entertainment
The Twilight Saga: New Moon (2009),production_companies,Sunswept Entertainment
The Twilight Saga: New Moon (2009),production_companies,Summit Entertainment
The Lizzie McGuire Movie (2003),production_companies,Walt Disney Pictures
The Lizzie McGuire Movie (2003),production_companies,Teen Life Productions
Gigli (2003),production_companies,Revolution Studios
Gigli (2003),production_companies,City Light Films
Gigli (2003),production_companies,Casey Silver Productions
Anon (2018),production_companies,K5 Film
Anon (2018),production_companies,K5 Media Group
Step Sisters (2018),production_companies,Los Angeles Media Fund
Rip Tide (2017),production_companies,The Steve Jaggi Company
Rip Tide (2017),production_companies,Head Gear Films
Rip Tide (2017),production_companies,Kreo Films FZ
Rip Tide (2017),production_companies,Metrol Technology
Rip Tide (2017),production_companies,ScreenProjex
Rip Tide (2017),production_companies,Winterland Pictures
Starship Troopers (1997),production_companies,TriStar Pictures
Starship Troopers (1997),production_companies,Touchstone Pictures
Starship Troopers (1997),production_companies,Big Bug Pictures
Starship Troopers (1997),production_companies,Digital Image Associates
The Clique (2008),production_companies,Alloy Entertainment
The Last Airbender (2010),production_companies,Paramount Pictures
The Last Airbender (2010),production_companies,Nickelodeon Movies
The Last Airbender (2010),production_companies,Blinding Edge Pictures
The Last Airbender (2010),production_companies,The Kennedy/Marshall Company
The Last Airbender (2010),production_companies,Industrial Light & Magic
Sleepover (2004),production_companies,Metro-Goldwyn-Mayer
Sleepover (2004),production_companies,Landscape Entertainment
Sleepover (2004),production_companies,Weinstock Productions
The Adventures of Sharkboy and Lavagirl 3-D (2005),production_companies,Dimension Films
The Adventures of Sharkboy and Lavagirl 3-D (2005),production_companies,Columbia Pictures
The Adventures of Sharkboy and Lavagirl 3-D (2005),production_companies,Troublemaker Studios
The Roommate (2011),production_companies,Screen Gems
The Roommate (2011),production_companies,Vertigo Entertainment
Mortal Kombat (1995),production_companies,New Line Cinema
Mortal Kombat (1995),production_companies,Threshold Entertainment
Ghost Rider (2007),production_companies,Columbia Pictures
Ghost Rider (2007),production_companies,Crystal Sky Pictures
Ghost Rider (2007),production_companies,Relativity Media
Ghost Rider (2007),production_companies,Marvel Enterprises
Ghost Rider (2007),production_companies,Michael De Luca Productions
Ghost Rider (2007),production_companies,GH One
Ghost Rider (2007),production_companies,Vengeance Productions Pty. Ltd.
Sex and the City 2 (2010),production_companies,New Line Cinema
Sex and the City 2 (2010),production_companies,Home Box Office (HBO)
Sex and the City 2 (2010),production_companies,HBO Films
Sex and the City 2 (2010),production_companies,Village Roadshow Pictures
The Adventures of Pluto Nash (2002),production_companies,Castle Rock Entertainment
The Adventures of Pluto Nash (2002),production_companies,Village Roadshow Pictures
The Adventures of Pluto Nash (2002),production_companies,NPV Entertainment
The Adventures of Pluto Nash (2002),production_companies,Mel's Cite du Cinema
Scooby-Doo (2002),production_companies,Warner Bros.
Scooby-Doo (2002),production_companies,Mosaic
Scooby-Doo (2002),production_companies,Atlas Entertainment
Silent Hill (2006),production_companies,TriStar Pictures
Silent Hill (2006),production_companies,Silent Hill DCP Inc.
Silent Hill (2006),production_companies,Davis-Films
Silent Hill (2006),production_companies,Konami
Silent Hill (2006),production_companies,Eggplant Picture & Sound
Silent Hill (2006),production_companies,Focus Features
Silent Hill (2006),production_companies,Syon Media
Resident Evil (2002),production_companies,Constantin Film
Resident Evil (2002),production_companies,New Legacy
Resident Evil (2002),production_companies,Davis-Films
Resident Evil (2002),production_companies,Impact Pictures
Resident Evil (2002),production_companies,Filmboard Berlin-Brandenburg (FBB)
Resident Evil (2002),production_companies,Filmförderungsanstalt (FFA)
Resident Evil (2002),production_companies,FFF Bayern
Resident Evil (2002),production_companies,Capcom Company
Resident Evil (2002),production_companies,Screen Gems
Resident Evil (2002),production_companies,FilmFour
Resident Evil (2002),production_companies,Hollywood Pictures
Resident Evil (2002),production_companies,Intermedia Films
Yinz (2018),production_companies,Gravitas Ventures
The Anomaly (2014),production_companies,Unstoppable Entertainment
The Anomaly (2014),production_companies,Tea Shop Productions
The Anomaly (2014),production_companies,thefyzz
Birdemic: Shock and Terror (2010),production_companies,Expedition Films
Birdemic: Shock and Terror (2010),production_companies,Moviehead Pictures
Super Mario Bros. (1993),production_companies,Allied Filmmakers
Super Mario Bros. (1993),production_companies,Cinergi Pictures Entertainment
Super Mario Bros. (1993),production_companies,Hollywood Pictures
Super Mario Bros. (1993),production_companies,Lightmotive
Super Mario Bros. (1993),production_companies,Nintendo
Super Mario Bros. (1993),production_companies,Touchwood Pacific Partners 1
Trolls World Tour (2020),production_companies,DreamWorks Animation
Trolls World Tour (2020),production_companies,Dentsu
The Rocky Horror Picture Show (1975),production_companies,Twentieth Century Fox
The Rocky Horror Picture Show (1975),production_companies,Michael White Productions
Street Fighter (1994),production_companies,Capcom Entertainment
Street Fighter (1994),production_companies,Edward R. Pressman Productions
A Very Country Christmas (2017),production_companies,HQ Marquee #1 Productions
Santa Girl (2019),production_companies,The Film Studio At Shenandoah
Santa Girl (2019),production_companies,Capital Arts Entertainment
Santa Girl (2019),production_companies,Robbins Entertainment
We Can Be Heroes (2020),production_companies,Double R Productions
We Can Be Heroes (2020),production_companies,Quick Draw Productions
We Can Be Heroes (2020),production_companies,Troublemaker Studios
Spice World (1997),production_companies,Columbia Pictures
Spice World (1997),production_companies,Spice Productions
Spice World (1997),production_companies,Fragile Films
Spice World (1997),production_companies,Icon Entertainment International
Spice World (1997),production_companies,Polygram Filmed Entertainment
Star Trek IV: The Voyage Home (1986),production_companies,Paramount Pictures
Star Trek IV: The Voyage Home (1986),production_companies,Industrial Light & Magic
I Know Who Killed Me (2007),production_companies,360 Pictures
Jungle 2 Jungle (1997),production_companies,Walt Disney Pictures
Jungle 2 Jungle (1997),production_companies,TF1 Films Production
Howard the Duck (1986),production_companies,Universal Pictures
Howard the Duck (1986),production_companies,Lucasfilm
She's All That (1999),production_companies,Miramax
She's All That (1999),production_companies,Tapestry Films
She's All That (1999),production_companies,FilmColony
She's All That (1999),production_companies,All That Productions
Hackers (1995),production_companies,United Artists
Hackers (1995),production_companies,Suftley
Batman & Robin (1997),production_companies,Warner Bros.
Batman & Robin (1997),production_companies,PolyGram Filmed Entertainment
My Brother the Pig (1999),production_companies,Pig Productions
Catwoman (2004),production_companies,Warner Bros.
Catwoman (2004),production_companies,Village Roadshow Pictures
Catwoman (2004),production_companies,DiNovi Pictures
Catwoman (2004),production_companies,Frantic Films
Catwoman (2004),production_companies,Maple Shade Films
Catwoman (2004),production_companies,Catwoman Films
Cats (2019),distributors,NOS Audiovisuais
Cats (2019),distributors,Sabay MVP
Cats (2019),distributors,Toho-Towa
Cats (2019),distributors,Tulip Entertainment
Cats (2019),distributors,United International Pictures (UIP)
Cats (2019),distributors,United International Pictures (UIP)
Cats (2019),distributors,United International Pictures (UIP)
Cats (2019),distributors,Universal Films of India
Cats (2019),distributors,Universal Pictures Argentina
Cats (2019),distributors,Universal Pictures International (UPI)
Cats (2019),distributors,Universal Pictures International (UPI)
Cats (2019),distributors,Universal Pictures International (UPI)
Cats (2019),distributors,Universal Pictures International (UPI)
Cats (2019),distributors,Universal Pictures International (UPI)
Cats (2019),distributors,Universal Pictures International (UPI)
Cats (2019),distributors,Universal Pictures International (UPI)
Cats (2019),distributors,Universal Pictures
Cats (2019),distributors,HBO Max
Cats (2019),distributors,Universal Pictures
Cats (2019),distributors,Universal Pictures
Cats (2019),distributors,Universal Pictures
Cats (2019),distributors,Universal Pictures
Emo the Musical (2016),distributors,Gunpowder & Sky
Sunday School Musical (2008),distributors,Christian Art Media
Sunday School Musical (2008),distributors,Faith Films
Sunday School Musical (2008),distributors,Opening Distribution
Sunday School Musical (2008),distributors,Selecta Visión
Sunday School Musical (2008),distributors,Selecta Visión
Sunday School Musical (2008),distributors,The Asylum
Sunday School Musical (2008),distributors,Thema America
Paul Blart: Mall Cop 2 (2015),distributors,Columbia Pictures
Paul Blart: Mall Cop 2 (2015),distributors,Sony Pictures Releasing
Paul Blart: Mall Cop 2 (2015),distributors,Andes Films
Paul Blart: Mall Cop 2 (2015),distributors,Big Picture 2 Films
Paul Blart: Mall Cop 2 (2015),distributors,Columbia Pictures
Paul Blart: Mall Cop 2 (2015),distributors,Sony Pictures Releasing Argentina
Paul Blart: Mall Cop 2 (2015),distributors,Sony Pictures Releasing
Paul Blart: Mall Cop 2 (2015),distributors,Sony Pictures Releasing
Paul Blart: Mall Cop 2 (2015),distributors,Sony Pictures Releasing
Paul Blart: Mall Cop 2 (2015),distributors,Sony Pictures Releasing
Paul Blart: Mall Cop 2 (2015),distributors,Sony Pictures Releasing
Paul Blart: Mall Cop 2 (2015),distributors,Sony Pictures Releasing
Paul Blart: Mall Cop 2 (2015),distributors,Sony Pictures Releasing
Paul Blart: Mall Cop 2 (2015),distributors,Sony Pictures Releasing
Paul Blart: Mall Cop 2 (2015),distributors,Sony Pictures Releasing
Paul Blart: Mall Cop 2 (2015),distributors,United International Pictures (UIP)
Paul Blart: Mall Cop 2 (2015),distributors,Universal Pictures International (UPI)
Paul Blart: Mall Cop 2 (2015),distributors,Comedy Central
Paul Blart: Mall Cop 2 (2015),distributors,Sony Pictures Entertainment
Paul Blart: Mall Cop 2 (2015),distributors,Sony Pictures Entertainment
Paul Blart: Mall Cop 2 (2015),distributors,Sony Pictures Home Entertainment
Paul Blart: Mall Cop 2 (2015),distributors,Sony Pictures Home Entertainment
Paul Blart: Mall Cop 2 (2015),distributors,Sony Pictures Home Entertainment
Paul Blart: Mall Cop 2 (2015),distributors,Sony Pictures Home Entertainment
Paul Blart: Mall Cop 2 (2015),distributors,Sony Pictures Releasing
Waterworld (1995),distributors,Universal Pictures
Waterworld (1995),distributors,Filmes Lusomundo
Waterworld (1995),distributors,Paramount Films of India
Waterworld (1995),distributors,United International Pictures (UIP)
Waterworld (1995),distributors,United International Pictures (UIP)
Waterworld (1995),distributors,United International Pictures (UIP)
Waterworld (1995),distributors,United International Pictures (UIP)
Waterworld (1995),distributors,United International Pictures (UIP)
Waterworld (1995),distributors,United International Pictures (UIP)
Waterworld (1995),distributors,United International Pictures (UIP)
Waterworld (1995),distributors,United International Pictures (UIP)
Waterworld (1995),distributors,United International Pictures (UIP)
Waterworld (1995),distributors,United International Pictures (UIP)
Waterworld (1995),distributors,United International Pictures (UIP)
Waterworld (1995),distributors,United International Pictures (UIP)
Waterworld (1995),distributors,United International Pictures (UIP)
Waterworld (1995),distributors,United International Pictures (UIP)
Waterworld (1995),distributors,American Broadcasting Company (ABC)
Waterworld (1995),distributors,Argentina Video Home
Waterworld (1995),distributors,MCA/Universal Home Video
Waterworld (1995),distributors,Universal Studios Home Video
Waterworld (1995),distributors,CIC Victor Video
Waterworld (1995),distributors,CIC Video
Waterworld (1995),distributors,CIC Video
Waterworld (1995),distributors,CIC-Taft Home Video
Waterworld (1995),distributors,Finnkino
Waterworld (1995),distributors,Home Video Hellas (HVH)
Waterworld (1995),distributors,Argentina Video Home
Waterworld (1995),distributors,Arrow Video
Waterworld (1995),distributors,Arrow Video
Waterworld (1995),distributors,CIC Vídeo
Waterworld (1995),distributors,CIC-Taft Home Video
Waterworld (1995),distributors,Columbia TriStar
Waterworld (1995),distributors,Egmont Entertainment
Waterworld (1995),distributors,Kutonen
Waterworld (1995),distributors,MTV3
Waterworld (1995),distributors,SBS6
Waterworld (1995),distributors,Sub
Waterworld (1995),distributors,TV3 Norge
Waterworld (1995),distributors,TV5
Waterworld (1995),distributors,Universal Pictures Finland
Waterworld (1995),distributors,Universal Pictures Finland
Waterworld (1995),distributors,Universal Pictures Home Entertainment (UPHE)
Waterworld (1995),distributors,Universal Pictures Home Entertainment (UPHE)
Waterworld (1995),distributors,Universal Pictures Home Entertainment (UPHE)
Waterworld (1995),distributors,Universal Pictures Home Entertainment (UPHE)
Waterworld (1995),distributors,Universal Pictures Home Entertainment
Waterworld (1995),distributors,Universal Pictures Home Entertainment
Waterworld (1995),distributors,Universal Pictures Home Entertainment
Waterworld (1995),distributors,Universal Pictures Home Entertainment
Waterworld (1995),distributors,Universal Pictures Home Entertainment
Waterworld (1995),distributors,Universal Pictures Video
Waterworld (1995),distributors,Universal Pictures Video
Waterworld (1995),distributors,Universal Pictures Video
Waterworld (1995),distributors,Universal Pictures Video
Waterworld (1995),distributors,Universal Pictures Video
Waterworld (1995),distributors,Universal Studios Home Video
Waterworld (1995),distributors,Universal Studios Home Video
Waterworld (1995),distributors,Yleisradio (YLE)
Battlefield Earth (2000),distributors,Warner Bros.
Battlefield Earth (2000),distributors,New Films International
Battlefield Earth (2000),distributors,Distribution Company
Battlefield Earth (2000),distributors,GAGA Humax
Battlefield Earth (2000),distributors,GAGA
Battlefield Earth (2000),distributors,New Image Entertainment
Battlefield Earth (2000),distributors,Roadshow Films
Battlefield Earth (2000),distributors,Roadshow Films
Battlefield Earth (2000),distributors,Sandrew Metronome Distribution
Battlefield Earth (2000),distributors,Village Roadshow Greece S.A.
Battlefield Earth (2000),distributors,Warner Bros.
Battlefield Earth (2000),distributors,Warner Bros.
Battlefield Earth (2000),distributors,Warner Bros.
Battlefield Earth (2000),distributors,Warner Sogefilms A.I.E.
Battlefield Earth (2000),distributors,Alpha Filmes
Battlefield Earth (2000),distributors,Alpha Filmes
Battlefield Earth (2000),distributors,Argentina Video Home
Battlefield Earth (2000),distributors,Argentina Video Home
Battlefield Earth (2000),distributors,Audio Visual Enterprises
Battlefield Earth (2000),distributors,Avsar Film
Battlefield Earth (2000),distributors,Concorde Home Entertainment
Battlefield Earth (2000),distributors,E Stars Films
Battlefield Earth (2000),distributors,Eagle Films
Battlefield Earth (2000),distributors,GAGA
Battlefield Earth (2000),distributors,Mill Creek Entertainment
Battlefield Earth (2000),distributors,New KSM
