original_title,plot,runtimes,countries,country_codes,language_codes,color_info,aspect_ratio,sound_mix,certificates,original_air_date,rating,votes,cover_url,imdbID,languages,title,year,kind
Cats (2019),A tribe of cats called the Jellicles must decide yearly which one will ascend to the Heaviside Layer and come back to a new Jellicle life.::Ceaser2,110,United Kingdom; United States,gb; us,en,Color,2.39 : 1,Dolby Digital; Dolby Atmos,Argentina:Atp; Australia:G; Austria:0; Belgium:KT/EA; Brazil:Livre; Canada:PG::(Alberta); Canada:G::(British Columbia); Canada:G::(Manitoba); Canada:G::(Quebec); Chile:TE; Colombia:T; Denmark:7; Finland:K-7; France:Tous publics; Germany:0; Hong Kong:I; Hungary:12; India:UA; India:UA::(self-applied); Ireland:PG; Italy:T; Japan:G; Mexico:A; Netherlands:6; New Zealand:G; Norway:7::(cinema rating); Philippines:PG-13; Portugal:M/12; Singapore:PG; South Africa:PG; South Korea:12; Spain:A::(ICAA); Sweden:7; Switzerland:6; Taiwan:GP; Turkey:7+; United Kingdom:U; United Kingdom:PG; United States:PG; Ukraine:ZA; Vietnam:P,20 Dec 2019 (USA),2.7,43201,"https://m.media-amazon.com/images/M/MV5BNjRlNTY3MTAtOTViMS00ZjE5LTkwZGItMGYwNGQwMjg2NTEwXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_SX101_CR0,0,101,150_.jpg",5697572,English,Cats,2019,movie
Emo the Musical (2016),"Ethan, a sullen high-school student whose life is defined by what he hates, finds love with a blindly optimistic Christian girl Trinity, much to the annoyance of his angst-filled band mates and her evangelistic brethren.::Emo The Musical",94,Australia,au,en,Color,,,Australia:M; Canada:13+; France:Tous publics; Germany:12; Ireland:15A; Singapore:M18; South Korea:15; Taiwan:R-12; United Kingdom:12A; United States:TV-14,04 May 2017 (Australia),6.0,1293,"https://m.media-amazon.com/images/M/MV5BNGUyOWQzNDQtMDA4Ny00OGE3LThkMmItZTk3YWNjM2FhYzYyXkEyXkFqcGdeQXVyMjI0ODQ1MDA@._V1_SY150_CR2,0,101,150_.jpg",5460068,English,Emo the Musical,2016,movie
Sunday School Musical (2008),"When financial woes threaten their church's future, a group of teens, led by one talented performer, enters a song and dance competition in hopes of winning a heavenly cash prize.::wiki",93,United States,us,en,Color,1.85 : 1,Stereo,Australia:G; Singapore:PG; United Kingdom:U; United States:G,21 Oct 2008 (USA),2.3,765,"https://m.media-amazon.com/images/M/MV5BMTc2NjY0MzIzMV5BMl5BanBnXkFtZTcwODE3MDg4MQ@@._V1_SY150_CR3,0,101,150_.jpg",1270792,English,Sunday School Musical,2008,video movie
Paul Blart: Mall Cop 2 (2015),"After six years of keeping our malls safe, Paul Blart has earned a well-deserved vacation. He heads to Las Vegas with his teenage daughter before she heads off to college. But safety never takes a holiday and when duty calls, Blart answers.::Sony Pictures Entertainment; After six years of keeping our malls safe, Paul Blart has earned a well-deserved vacation. He heads to Vegas with his teenage daughter before she heads off to college. But safety never takes a holiday and when duty calls, Blart answers.::Sony Pictures Entertainment; Paul Blart is back and better than ever after 6 years of upholding and protecting the public citizens of his local mall in West Orange, NJ. His wife of 6 days leaves him and he loses his Mom unexpectedly, then Paul receives a letter that invites him and his daughter out to Las Vegas for a security convention for the elite mall cops, he is pulled into action to save his kidnapped daughter from art thieves at the Wynn Hotel and resort.::bugman-88296; Paul Blart's vacation to Las Vegas is cut short when his daughter Maya is kidnapped by an evil mastermind who is stealing valuable art. Now, the game of mall cops has changed, new gadgets and Paul Blart is losing fame. But now in time of emergency he must save the day once again. With a team of classic mall cops try to defeat the thief and save Maya before she is taken away. Can they complete the job or will all the art and Maya be taken away?; Six years after the heroic Black Friday rescue at New Jersey's West Orange Pavilion Mall in Paul Blart: Mall Cop (2009), Paul Blart finds himself in dazzling Las Vegas with his daughter, Maya, to attend the Security Officers Trade Association convention. However, instead of resting and having fun, the overprotective father unearths a well-planned conspiracy, as the suave art collector and steely criminal, Vincent Sofel, and his skilled gang of robbers intend to steal a rare art collection. Now, it's up to the selfless protector, Paul, and his equally experienced team of security guards to save the day. Will the Mall cop carry through the most difficult mission in his entire career?::Nick Riganas; Paul blart dies and and is given another chance at life. Paul takes his second chance but takes his new life for granted, making his wife leave (due to uncontrollable Vomitting) and his mother get hit by a milk truck. Paul lives in fear and gets very overprotective of his daughter. When Paul gets invited to a mall cop press conference in Las Vegas, Paul might get a new chance at redemption and become a hero once more",94,United States,us,en,Color,1.85 : 1,Dolby Digital; Dolby Surround 7.1; Datasat; Dolby Atmos,Argentina:Atp::(with warning); Australia:PG; Brazil:12; Canada:PG::(British Columbia); Chile:TE+7; Colombia:T; Denmark:11::(DVD rating); Finland:K-12::(DVD rating); Germany:6; Greece:K-8; Ireland:PG; Japan:G; Mexico:B; Netherlands:6; Norway:12::(DVD rating); Philippines:PG-13; Portugal:M/6; Russia:16+; Singapore:PG; South Africa:7-9; South Korea:12; Spain:A; Sweden:11; Switzerland:10; United Kingdom:PG; United Kingdom:PG; United States:PG,17 Apr 2015 (USA),4.4,34601,"https://m.media-amazon.com/images/M/MV5BMTkwMjkxNDQ1MV5BMl5BanBnXkFtZTgwNDQwODIxNTE@._V1_SY150_CR0,0,101,150_.jpg",3450650,English,Paul Blart: Mall Cop 2,2015,movie
Waterworld (1995),"In a future where the polar ice-caps have melted and Earth is almost entirely submerged, a mutated mariner fights starvation and outlaw ""smokers,"" and reluctantly helps a woman and a young girl try to find dry land.::jgp3553@yahoo.com; The polar ice caps have melted, and the earth is covered by water. The remaining people travel the seas, in search of survival. Several different societies exist. The Mariner falls from his customary and solitary existence into having to care for a woman and a young girl while being pursued by the evil forces of the Deacon.::Robbie Smith <robsmith@u.washington.edu>; In the future, the Earth is engulfed with water when the polar ice caps melted, leaving the lands and civilization beneath the sea. In ""Waterworld"" drifters sail across the waters of the world on their man-made ships, trading for supplies and salvaging what is left of civilization, communities of survivors live in towns called ""Atolls"", and a force of evil pirates ""The Smokers"" travel across Waterworld in search of a mythical island called ""Dryland"". Arriving at an Atoll, a mysterious drifter without a name called The Mariner is sentenced to death when the community discovers he is a mutant. When the Atoll is attacked by The Smokers led by their evil leader Deacon, a woman named Helen and her adopted daughter Enola bribe The Mariner to take them to Dryland, believing The Mariner has been there. But the Mariner, Helen and Enola are pursued by Deacon and the Smokers, when The Mariner learns the tattoo on Enola's back is in reality a map that will lead them to Dryland...::Daniel Williamson; Sometime in the future, the polar ice caps have melted and the world's oceans and seas have covered the land. People are few and far between, living in small communities at sea or sailing from one to another as traders. All the people seek dry land.. something nobody has seen.::Rob Hartill; The world is flooded. Civilisation is lost under the sea. The Mariner sails his trimoran over the seas, drinking his own Urine and visits a floating atoll of ""Drifters"". When they find the Mariner to be a mutant they sentence him to death. Meanwhile, a girl with supposedly a map to get to dry land tattoo-ed on her back, is the objective for an attack by a gang of smokers who attack the atoll.::Anonymous",135,United States,us,en,Color,1.85 : 1,DTS; DTS-Stereo; Dolby Atmos,Argentina:13; Australia:M; Brazil:12; Canada:14A; Canada:PG::(Ontario); Canada:13+::(Quebec); Finland:K-12; France:Tous publics; Germany:12; Iceland:12; India:UA; Italy:T; Netherlands:12; New Zealand:M; Norway:15::(cinema rating); Philippines:PG-13; Portugal:M/12; Russia:12+; Singapore:PG; South Africa:PG; South Korea:12; Spain:7; Sweden:15; United Kingdom:12; United States:PG-13,28 Jul 1995 (USA),6.3,181519,"https://m.media-amazon.com/images/M/MV5BYzE4NTRmMDYtNWYzYi00YmNkLTk4NDEtYjFmMDc4ODQ3ODY2XkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX101_CR0,0,101,150_.jpg",0114898,English,Waterworld,1995,movie
Battlefield Earth (2000),"It's the year 3000 A.D., and the Earth is lost to the alien race of Psychlos. Humanity is enslaved by these gold-thirsty tyrants, who are unaware that their 'man-animals' are about to ignite the rebellion of a lifetime.; In the year 3000, humanity is no match for the Psychlos, a greedy, manipulative race on a quest for ultimate profit. Led by the seductive and powerful Terl, the Psychlos are stripping Earth of its resources, using the broken remnants of humanity as slaves. What is left of the human race has reverted to a primitive state, believing the invaders to be demons and technology to be evil. After humanity has all but given up any hope of freeing themselves from alien oppression, a young man named Tyler decides to leave his desolate home high in the Rocky Mountains to discover the truth, whereupon he is captured and enslaved. It is then that he decides to fight back, leading his fellow man in one final struggle for freedom.::Cheeseycom",118,United States,us,en,Color,2.35 : 1,DTS; Dolby Digital; SDDS,Argentina:13; Australia:M; Brazil:12; Canada:PG::(Alberta/British Columbia/Manitoba/Ontario); Canada:G::(Québec); Denmark:15; Finland:K-15::(DVD); Finland:K-12::(theatrical); France:Tous publics; Germany:16; Hong Kong:IIA; Iceland:12; Ireland:12; Italy:T; Malaysia:U; Netherlands:12; New Zealand:M; Norway:15; Peru:14; Philippines:PG-13; Singapore:PG; South Africa:10::(V); South Korea:12; Spain:13; Sweden:15; Switzerland:16::(canton of Geneva); Switzerland:16::(canton of Vaud); United Kingdom:12; United States:PG-13; United States:PG-13,12 May 2000 (USA),2.5,76246,"https://m.media-amazon.com/images/M/MV5BNWQ3ZWNkMzItOTcxNi00MzA5LTkzMTQtZWIyZWJjN2VhNDBkXkEyXkFqcGdeQXVyMjQwMjk0NjI@._V1_SY150_CR0,0,101,150_.jpg",0185183,English,Battlefield Earth,2000,movie
Striking Distance (1993),"Coming from a police family, Tom Hardy ends up fighting his uncle after the murder of his father. Tom believes the killer is another cop and goes on the record with his allegations. Demoted then to river duty, the killer taunts Tom.::Rob Hartill; Tom Hardy (Bruce Willis) is a maverick cop in pursuit of a sadistic serial killer. Demoted to river patrol after suggesting to the press the killer may be a police officer, he initiates an unauthorized investigation with his new partner (Sarah Jessica Parker).::AYM Films; A serial killer is back in Pittsburgh to torment the former homicide detective who was on his trail years before. Tom Hardy, who has been relegated to water-way duty, along with new partner Jo Christman, navigate the three rivers looking for clues and discovering bodies. This time the victims are women Tom knows, he must find the killer to prove his innocence.::FMJ_Joker; Tom Hardy comes from a family of cops and has just broken the cardinal rule -- never speak out against another cop -- which now makes him persona non grata with the other cops. Presently there's a serial killer on the loose and when Tom and his father and some other cops corner him, a big chase ensues and when it is over Tom's father is dead, supposedly killed by the perp. Later a suspect is brought in whom Tom doesn't believe is the one but most of the cops just don't want to believe him or think that his perspective is clouded. Eventually he is drummed out and the only position he could get is at river rescue. Two years later he still sticks to his beliefs and apparently the killer is back but nobody believes him and some people think that he is copy-catting the killer.::rcs0411@yahoo.com; Tom Hardy is a fifth-generation cop. When his father dies during the chase of a serial killer, Hardy further complicates matters by implicating his partner and cousin Jimmy in a police brutality case. Two years after Jimmy is believed to have committed suicide, women from Hardy's past start to turn up dead, and his father's alleged killer is found. Believing that the alleged killer is a patsy, Hardy conducts his own illegal investigation into his father's death, and the women's deaths as well. In a riveting climax, Hardy and the killer ultimately lock horns in a showdown that ties all the loose ends on both cases.::radiohawk@hotmail.com",102,United States,us,en,Color,1.85 : 1,Dolby Stereo; SDDS::(uncredited),"Argentina:13; Australia:M; Brazil:14::(video rating); Finland:K-16; Finland:K-16/13; Germany:16; Iceland:16; Mexico:C; Netherlands:12; Norway:15::(cinema rating); Peru:14; Philippines:R-18; Portugal:M/16; Singapore:NC-16; South Korea:15; Spain:18; Sweden:15; United Kingdom:18; United States:TV-14::(LSV, TV Rating.); United States:R",17 Sep 1993 (USA),5.9,40409,"https://m.media-amazon.com/images/M/MV5BMTQzMDEwMTc5N15BMl5BanBnXkFtZTgwMzczNjQxMTE@._V1_SY150_CR0,0,101,150_.jpg",0108238,English,Striking Distance,1993,movie
Twilight (2008),"When Bella Swan moves to a small town in the Pacific Northwest, she falls in love with Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire.; Bella Swan has always been a little bit different. Never one to run with the crowd, Bella never cared about fitting in with the trendy girls at her Phoenix, Arizona high school. When her mother remarries and Bella chooses to live with her father in the rainy little town of Forks, Washington, she doesn't expect much of anything to change. But things do change when she meets the mysterious and dazzlingly beautiful Edward Cullen. For Edward is nothing like any boy she's ever met. He's nothing like anyone she's ever met, period. He's intelligent and witty, and he seems to see straight into her soul. In no time at all, they are swept up in a passionate and decidedly unorthodox romance - unorthodox because Edward really isn't like the other boys. He can run faster than a mountain lion. He can stop a moving car with his bare hands. Oh, and he hasn't aged since 1918. Like all vampires, he's immortal. That's right - vampire. But he doesn't have fangs - that's just in the movies. And he doesn't drink human blood, though Edward and his family are unique among vampires in that lifestyle choice. To Edward, Bella is that thing he has waited 90 years for - a soul mate. But the closer they get, the more Edward must struggle to resist the primal pull of her scent, which could send him into an uncontrollable frenzy. Somehow or other, they will have to manage their unmanageable love. But when unexpected visitors come to town and realize that there is a human among them Edward must fight to save Bella? A modern, visual, and visceral Romeo and Juliet story of the ultimate forbidden love affair - between vampire and mortal.::Summit Entertainment; When Bella moves to the rainy, cold and cloudy town of Forks to live with her dad, she doesn't expect much. She's kind of a misfit and doesn't have a lot of friends. But when she meets the extremely mysterious and handsome looking boy, Edward Cullen everything changes. As the two slowly grow closer, Bella stumbles upon Edward's most deadly secret and they begin to realize they have a very strong love for one another. Edward has been waiting for a long time for a soul mate and Bella is the one. But the closer he gets to her the more difficult it becomes for him to resist her blood. The two know they are entering a forbidden relationship and that they have to face many dangers just because they are together. Will Bella trust her heart or the warning signs going through her head?; Without expectations, the mature high school student, Bella Swan, relocates to the rain-soaked town of Forks to live with her father, after her divorced mother decides to remarry. However--as life is as exciting as it is unpredictable--the taciturn newcomer has a life-altering encounter with her withdrawn and morosely beautiful classmate, Edward Cullen, who, right from the start, senses the intoxicating effects of a dangerously suppressed feeling gnawing at him. Now--harbouring the deep and dark secret of vampiric immortality--Edward's insatiable thirst for warm blood stands in the way of experiencing a much nobler, and yet unfulfilled feeling. Little by little, as shocking revelations pave the way for an all-consuming whirlwind romance, innocent Bella's mortal flesh yearns for the palpable wonders of immortal love; even if her unquenched desire may lead her to her demise. Is this unconventional union nothing but a dream, or is this the prelude to an unending young passion?::Nick Riganas; Isabella Swan moves to gloomy Forks to live with her father. As she starts her junior year in high school she becomes fascinated by Edward Cullen who holds a dark secret which is only known by his family. Edward falls in love with Bella as well but knows the further they progress in their relationship the more he is putting Bella and those close to her at risk. Edward warns Bella that she should leave him but she refuses to listen and to understand why he is saying this. Bella learns his secret. He is a vampire, however she is not afraid of his blood-thirsty needs and the fact he could kill her at any moment. Bella is afraid of losing him, the love of her life. The thrill begins when a new vampire finds it a challenge to hunt Bella down for her irresistible blood. The game is on and James will not stop until she is killed.::courtney; Bella Swan was not expecting anything out of the ordinary to happen when she moved to live with her Dad in Forks, Washington. But this where her life truly begins. There she meets Edward Cullen, a mysterious and captivating student at her new high school. Bella soon discovers that Edward is hiding a secret, after he impossibly saves her life with his super-human strength and speed. She is determined to unravel his secret, but the truth is more terrifying than she realized. Edward is a vampire. Any normal person would just keep away from him, but Edward and Bella have fallen passionately and unconditionally in love with each other. And so begins their forbidden relationship between a human and a vampire. But the young lovers soon discover that their troubles are only just about to begin.::Mel from the Untied Kingdom.",122,United States,us,en,Color,2.35 : 1,DTS; Dolby Digital; SDDS; Dolby Atmos,Argentina:13; Australia:M; Brazil:12; Canada:PG; Czech Republic:12; Denmark:11; Finland:K-13; France:Tous publics; Germany:12; Greece:K-12; Iceland:12; India:UA; India:UA::(self-applied); Ireland:12A; Italy:T; Japan:PG12::(self-applied); Malaysia:U; Mexico:B; Netherlands:12; New Zealand:M; Nigeria:PG; Norway:11::(cinema rating); Philippines:PG-13::(MTRCB); Portugal:M/12; Russia:16+; Saudi Arabia:PG; Singapore:PG; Singapore:PG13; South Africa:13; South Korea:12; Spain:12::(ICAA); Sweden:15; Switzerland:12::(canton of Geneva); Switzerland:12::(canton of Vaud); Taiwan:PG-12; Turkey:13+; United Kingdom:12A; United States:PG-13,21 Nov 2008 (USA),5.2,429488,"https://m.media-amazon.com/images/M/MV5BMTQ2NzUxMTAxN15BMl5BanBnXkFtZTcwMzEyMTIwMg@@._V1_SY150_CR0,0,101,150_.jpg",1099212,English,Twilight,2008,movie
The Twilight Saga: New Moon (2009),"Edward leaves Bella after an attack that nearly claimed her life, and, in her depression, she falls into yet another difficult relationship - this time with her close friend, Jacob Black.::Moviedude346; After Bella recovers from the vampire attack that almost claimed her life, she looks to celebrate her birthday with Edward and his family. However, a minor accident during the festivities results in Bella's blood being shed, a sight that proves too intense for the Cullens, who decide to leave the town of Forks, Washington for Bella and Edward's sake. Initially heartbroken, Bella finds a form of comfort in reckless living, as well as an even-closer friendship with Jacob Black. Danger in different forms awaits.::IMDb Editors; Thrilled to bits about her upcoming eighteenth birthday shortly after the unexpected encounter with the supernatural in Twilight (2008), instead, Bella comes face-to-face with her worst fear and an unforeseen complication in the wake of a near-death incident. Utterly convinced that his undead presence can only bring pain--or, even worse, death--a firm Edward decides that the best thing to do is to disappear from rainy Forks and the life of his only true love forever, leaving Bella heartbroken and vulnerable. Now, as the ardent youthful passion turns into bitter despair, Bella turns to her attractive childhood friend, Jacob Black, to find solace, unbeknownst to her that he, too, has something to hide. More and more, danger encircles Bella. Is Jacob or Edward the one who will save her?::Nick Riganas; Bella Swan is still very much in love with vampire, Edward Cullen. The rest of the vampire coven who call themselves the Cullens, especially Alice, decide to throw Bella a private party for her eighteenth birthday. Things go wrong, and as a result of the danger Bella was put through, the Cullen family decide to leave Forks, Washington. At first Bella exempts herself from all social activities, until she realizes she can coexist with childhood friend, Jacob Black. As usual for Bella, things aren't what they seem. Something is happening to Jacob that he can't explain to Bella, and their friendship starts to deteriorate. But when someone from Bella's past comes back to haunt her, everything will change again.::ihavenolife.; Last time we see saw Bella Swan she was narrowly escaping the clutches of the evil vampire James while finding love with ''vegetarian'' vampire Edward Cullen. Bella and Edward's lives have been full of nothing but love and bliss however, it all changes one fateful day. On Bella's birthday, her new found friend and sister of Edward, Alice, decides to throw her lavish party, complete with balloons, ribbons and cake. Edward decides that while he and his family are around, Bella's life will always be at risk. So he decides to leave her for her own good. Bella feels her life is over. Enter Jacob Black, a member of the Quilite tribe who manages to bring some joy and meaning back into Bella's life. However as the two become closer, Bella discovers Jacob has a secret of his own. As if that wasn't bad enough Bella can't seem to get the love of her life, Edward out of her mind. With new dangers, new friends and new enemies, Bella finds herself choosing between holding on to the past or accepting a new future. But what and more importantly who will she choose?::LadyN1",130,United States,us,en; it,Color,2.35 : 1,Dolby Digital; DTS; SDDS,Argentina:13; Australia:M; Brazil:12; Canada:PG::(British Colombia); Denmark:11; Finland:K-13; Finland:K-12/9; France:Tous publics; Germany:12; Hong Kong:IIA; Iceland:12; India:UA; Ireland:12A; Italy:T; Japan:G; Malaysia:P13; Mexico:B; Netherlands:12; New Zealand:M; Nigeria:PG; Norway:11::(cinema rating); Philippines:G::(MTRCB); Portugal:M/12; Saudi Arabia:PG; Singapore:PG; South Africa:13; South Africa:10::(DVD rating); South Korea:12; Spain:12; Sweden:15; Sweden:11; Switzerland:12::(canton of Geneva); Switzerland:12::(canton of Vaud); Thailand:G; Turkey:7+; United Kingdom:12A; United States:PG-13,20 Nov 2009 (USA),4.7,267405,"https://m.media-amazon.com/images/M/MV5BMTI3MjE3NDIxNF5BMl5BanBnXkFtZTcwODM3NTY5Mg@@._V1_SY150_CR0,0,101,150_.jpg",1259571,English; Italian,The Twilight Saga: New Moon,2009,movie
The Lizzie McGuire Movie (2003),"Lizzie McGuire has graduated from middle school and takes a trip to Rome, Italy with her class. And what was supposed to be only a normal trip, becomes a teenager's dream come true.::Collin Dysart; Teen queen Lizzie McGuire grows up a bit and hits the big screen in this comedy drama, based on the popular Disney Network series. Lizzie McGuire and her best friends Kate, Gordo, and Ethan have just graduated from middle school, and to celebrate, they're taking part in a class trip to Rome, Italy. Eager to celebrate their new maturity as high school students, Lizzie and her pals hope to live it up in one of Europe's most fabled cities, but fate has something more spectacular in store for Lizzie. Lizzie discovers that she bears a striking resemblance to Isabella, an Italian teen-pop idol famous for her duets with heart-throb Paolo -- so much so that when Paolo and Isabella have a falling out, he asks Lizzie to take Isabella's place for an upcoming concert. Lizzie, however, isn't sure she feels comfortable stepping into the spotlight, and is even less sure about the way she feels about Paolo, who makes no secret of his infatuation with her. Things don't get any simpler for Lizzie when her family gets wind of her newfound fame, and catch the next flight to Italy.::Rachel Barlow; Lizzie McGuire, the blonde haired klutz/dork/loser, among other not-so-nice-things, has just graduated middle school with her best friends David 'Gordo' Gordon, and Miranda Sanchez. As a post graduation/pre high school surprise, the newly graduates, along with other friends and rivals, get to go to the beautiful Rome, Italy with the not so beautiful high school principal, Mrs.Ungermeyer. Miranda goes on a family vacation, so it's just the two friends. That's when a tiny romance begins to blossom. When they get there, the kids expect fun, romance, and in some people's cases, tons of spaghetti. What they get is a droning tour with Ungermeyer. When Lizzie meets a famous Italian pop star, Paolo, she gets a bit of fun and adventure mixed with drama and lying, when she finds out she must replace Isabella, the brunette look alike pop singer that duets with Paolo, at the Italian Music Awards. After Kate, Lizzie's rival, finds this all out and swears to keep things a secret from Ungermeyer, Gordo finds out Paolo is using Lizzie so he won't get sued. She won't believe him, yet he continues to cover for her, who knew about this since the beginning. Things get a little to out of control, and soon Ungermeyer comes to the obvious that Lizzie has been faking sick to sneak out. Gordo tells Ungermeyer that it was him sneaking around, which gets his a cozy seat on the next plane to America. But as he's getting on the plane, Isabella, who just returned from an island, is getting off a plane. She found out about Lizzie and demands her bodyguards tell her who she is. But the only one who can tell her is Gordo. Meanwhile, Matt is at home, pretending to his parents that he misses his older sister just so they can go to Rome and get her, and he can make money of the embarrassing tapes. On the plane, their parents figure out what Lizzie's trip held, and Matt must explain all he knows in a 14 hour trip. The night that Lizzie and Paolo perform, Isabella and Gordo find Lizzie getting ready backstage. They tell her everything, and now she believes them. Lizzie tells Isabella to go ahead, but Lizzie must still perform after the brunette singer states that she is not blonde, and Paolo will find an excuse to leave. So as they go on, Isabella comes up with a clever plan and tells the operators to turn up Paolo's microphone in the middle of the song, so the audience can hear his horrible voice instead of his gorgeous lipsynching. When he's caught, he runs off and tells paparazzi it was just his voice. But no one believes him, so thats the end of Paolo. Isabella introduces Lizzie as her new American friend. They start an upbeat pop duet of the original Paolo Lizzie ballad, just as Ungermeyer, the students, and Lizzie's family come in to watch her. Then Isabella leaves Lizzie to sing by herself. She tries to run off but Gordo tells her she can do it. She pretty much sums up her trip to Roma in song. The movie ends with Lizzie getting grounded, Matt being wanted out of country for blackmailing family, Kate and Ethan, the heartthrob, enjoying spaghetti, and a sweet kiss on the balcony of the hotel shared between Gordo and Lizzie.::Kaylynn; When Lizzie and Gordo finally graduate, Rome, Italy, here they come! Lizzie, Gordo, and all the new high schoolers to be are excited about seeing Roma. Not so excited when they're accompanied by the not so sunshiny Mrs. ungermeyer. So when Lizzie is discovered by Paolo, a famous 17 year old Italian pop star, she must sneak away from Ungermeyer, the class, and everyone associated except Gordo. She finds out she was picked out because Lizzie, with her blonde hair, looks like the brunette half of the duet, Isabella. Isabella and Paolo have broken up, and Isabella is on the island. Lizzie thinks Paolo is falling for her, but all he's doing is trying not to get sued. When she finds out from Gordo, she won't believe him. Yet, he covers for her to the extent of getting sent home. Meeting Isabella there, he explains it all to her wondering mind. When they foul out Paolo at the Music Awards, Isabella and Lizzie sing together a pop version of a softer ballad. Lizzie finished the song. Later on, Lizzie apologizes to Gordo, and they seem to be getting along very well. Will a new Romance in Roma evolve?::Kaylynn; Disney's ""The Lizzie McGuire Movie"" serves up the comic foibles of lovable Lizzie McGuire and her pals Gordo, Kate, and Ethan, who all pack their bags and plan to live la dolce vita while on a class trip to Italy. Once there, Lizzie is mistaken for Isabella (who is part of an Italian pop duo) and begins to fall for Paolo (Isabella's handsome Italian pop star former boyfriend). When Lizzie's mom, dad, and annoying brother Matt get wind of this, they all jet their way to the boot country. In the meantime, Lizzie is transformed from a gawky teen to a beautiful pop star, Gordo struggles to understand his true feelings for her, and a whirlwind of surprising events force Lizzie to find the true meaning of friendship.::Anonymous; Lizzie McGuire is a teenager graduating from Junior high school, and eager to find adventures in Rome, Italy on a School trip. Upon arriving there, she discovers that she is the identical spitting image of an Italian beauty who is half of a famous pop duo. Meeting Pualo, the other half of the duo, she is reeled into posing as Isabella on what becomes a journey of self-discovery.::Dismal Angel",94,United States,us,en; it,Color,1.78 : 1 (video camera footage),DTS::(DTS HD Master Audio 5.1)::(5.1 Surround Sound)::(5.1); Dolby Digital::(Dolby Digital 5.1)::(5.1 Surround Sound)::(5.1); SDDS::(8 channels)::(5.1 Surround Sound)::(5.1); D-Cinema 48kHz 5.1::(D-Cinema prints)::(5.1 Surround Sound)::(5.1),Argentina:Atp; Australia:G; Brazil:Livre; Bulgaria:A; Canada:G::(Canadian Home Video rating); Denmark:A; Finland:S; France:Tous publics; Germany:0; Iceland:L; India:U; Ireland:G; Italy:T; Japan:G; Malaysia:U; Netherlands:AL; New Zealand:G; Nigeria:G; Norway:A; Peru:Apt; Philippines:G; Saudi Arabia:G; Singapore:PG; South Korea:All; Spain:T; Sweden:Btl; Turkey:G; United Kingdom:U; United States:PG; Vietnam:P,02 May 2003 (USA),5.5,36021,"https://m.media-amazon.com/images/M/MV5BMTMzNDg1NDc0NF5BMl5BanBnXkFtZTYwOTY2OTU3._V1_SY150_CR0,0,101,150_.jpg",0306841,English; Italian,The Lizzie McGuire Movie,2003,movie
