original_title,genre
Cats (2019),Comedy
Cats (2019), Drama
Cats (2019), Family
Cats (2019), Fantasy
Cats (2019), Musical
Emo the Musical (2016),Comedy
Emo the Musical (2016), Music
Emo the Musical (2016), Musical
Sunday School Musical (2008),Drama
Sunday School Musical (2008), Musical
Paul Blart: Mall Cop 2 (2015),Action
Paul Blart: Mall Cop 2 (2015), Comedy
Paul Blart: Mall Cop 2 (2015), Crime
Paul Blart: Mall Cop 2 (2015), Family
Waterworld (1995),Action
Waterworld (1995), Adventure
Waterworld (1995), Sci-Fi
Battlefield Earth (2000),Action
Battlefield Earth (2000), Adventure
Battlefield Earth (2000), Sci-Fi
Striking Distance (1993),Action
Striking Distance (1993), Crime
Striking Distance (1993), Mystery
Striking Distance (1993), Thriller
Twilight (2008),Drama
Twilight (2008), Fantasy
Twilight (2008), Romance
The Twilight Saga: New Moon (2009),Adventure
The Twilight Saga: New Moon (2009), Drama
The Twilight Saga: New Moon (2009), Fantasy
The Twilight Saga: New Moon (2009), Romance
The Lizzie McGuire Movie (2003),Adventure
The Lizzie McGuire Movie (2003), Comedy
The Lizzie McGuire Movie (2003), Family
The Lizzie McGuire Movie (2003), Music
The Lizzie McGuire Movie (2003), Romance
Gigli (2003),Comedy
Gigli (2003), Crime
Gigli (2003), Romance
Anon (2018),Crime
Anon (2018), Sci-Fi
Anon (2018), Thriller
Step Sisters (2018),Comedy
Rip Tide (2017),Drama
Rip Tide (2017), Family
Starship Troopers (1997),Action
Starship Troopers (1997), Adventure
Starship Troopers (1997), Sci-Fi
Starship Troopers (1997), Thriller
The Clique (2008),Comedy
The Clique (2008), Drama
The Clique (2008), Family
The Last Airbender (2010),Action
The Last Airbender (2010), Adventure
The Last Airbender (2010), Family
The Last Airbender (2010), Fantasy
Sleepover (2004),Comedy
Sleepover (2004), Family
Sleepover (2004), Romance
The Adventures of Sharkboy and Lavagirl 3-D (2005),Action
The Adventures of Sharkboy and Lavagirl 3-D (2005), Adventure
The Adventures of Sharkboy and Lavagirl 3-D (2005), Comedy
The Adventures of Sharkboy and Lavagirl 3-D (2005), Family
The Adventures of Sharkboy and Lavagirl 3-D (2005), Fantasy
The Adventures of Sharkboy and Lavagirl 3-D (2005), Sci-Fi
The Roommate (2011),Thriller
Mortal Kombat (1995),Action
Mortal Kombat (1995), Adventure
Mortal Kombat (1995), Fantasy
Mortal Kombat (1995), Sci-Fi
Mortal Kombat (1995), Thriller
Ghost Rider (2007),Action
Ghost Rider (2007), Fantasy
Ghost Rider (2007), Thriller
Sex and the City 2 (2010),Comedy
Sex and the City 2 (2010), Drama
Sex and the City 2 (2010), Romance
The Adventures of Pluto Nash (2002),Action
The Adventures of Pluto Nash (2002), Comedy
The Adventures of Pluto Nash (2002), Sci-Fi
Scooby-Doo (2002),Adventure
Scooby-Doo (2002), Comedy
Scooby-Doo (2002), Family
Scooby-Doo (2002), Fantasy
Scooby-Doo (2002), Mystery
Silent Hill (2006),Action
Silent Hill (2006), Adventure
Silent Hill (2006), Fantasy
Silent Hill (2006), Horror
Silent Hill (2006), Mystery
Resident Evil (2002),Action
Resident Evil (2002), Horror
Resident Evil (2002), Sci-Fi
Yinz (2018),Thriller
The Anomaly (2014),Action
The Anomaly (2014), Mystery
The Anomaly (2014), Sci-Fi
The Anomaly (2014), Thriller
Birdemic: Shock and Terror (2010),Horror
Birdemic: Shock and Terror (2010), Thriller
Super Mario Bros. (1993),Adventure
Super Mario Bros. (1993), Comedy
Super Mario Bros. (1993), Family
Super Mario Bros. (1993), Fantasy
Super Mario Bros. (1993), Sci-Fi
Trolls World Tour (2020),Animation
Trolls World Tour (2020), Adventure
Trolls World Tour (2020), Comedy
Trolls World Tour (2020), Family
Trolls World Tour (2020), Fantasy
Trolls World Tour (2020), Musical
The Rocky Horror Picture Show (1975),Comedy
The Rocky Horror Picture Show (1975), Musical
Street Fighter (1994),Action
Street Fighter (1994), Adventure
Street Fighter (1994), Comedy
Street Fighter (1994), Thriller
A Very Country Christmas (2017),Family
A Very Country Christmas (2017), Romance
Santa Girl (2019),Comedy
Santa Girl (2019), Family
Santa Girl (2019), Romance
We Can Be Heroes (2020),Action
We Can Be Heroes (2020), Comedy
We Can Be Heroes (2020), Drama
We Can Be Heroes (2020), Family
We Can Be Heroes (2020), Fantasy
Spice World (1997),Comedy
Spice World (1997), Family
Spice World (1997), Music
Star Trek IV: The Voyage Home (1986),Action
Star Trek IV: The Voyage Home (1986), Adventure
Star Trek IV: The Voyage Home (1986), Comedy
Star Trek IV: The Voyage Home (1986), Sci-Fi
I Know Who Killed Me (2007),Crime
I Know Who Killed Me (2007), Mystery
I Know Who Killed Me (2007), Thriller
Jungle 2 Jungle (1997),Comedy
Jungle 2 Jungle (1997), Family
Howard the Duck (1986),Action
Howard the Duck (1986), Adventure
Howard the Duck (1986), Comedy
Howard the Duck (1986), Romance
Howard the Duck (1986), Sci-Fi
She's All That (1999),Comedy
She's All That (1999), Romance
Hackers (1995),Comedy
Hackers (1995), Crime
Hackers (1995), Drama
Hackers (1995), Thriller
Batman & Robin (1997),Action
Batman & Robin (1997), Sci-Fi
My Brother the Pig (1999),Comedy
My Brother the Pig (1999), Family
My Brother the Pig (1999), Fantasy
Catwoman (2004),Action
Catwoman (2004), Crime
Catwoman (2004), Fantasy
